单词,美式音标,中文翻译,例句,例句翻译
radiant,'redɪənt,adj. 辐射的；容光焕发的；光芒四射的；n. 光点；发光的物体,She looked radiant in a white silk dress.,她身穿白色真丝礼服，看上去光彩照人。
overtime,",ovə'taɪm",n. [劳经] 加班时间；延长时间；加时赛；adj. 超时的；加班的；vt. 使超过时间；adv. 加班地,six hours’ overtime,六小时的加班
confer,kən'fɝ,v. 授予；给予；n. (Confer)人名；(英)康弗,The constitution also confers large powers on Brazil's 25 constituent states.,宪法还授予巴西25个成员州极大的权力。
fee,fi,n. 费用；酬金；小费；v. 付费给……,You can use the gym and pool for a fee of £35 a month.,月付35英镑，即可使用健身房和游泳池。
worship,'wɝʃɪp,n. 崇拜；礼拜；尊敬；v. 崇拜；尊敬；爱慕,...the worship of the ancient Roman gods.,…对古罗马众神的敬奉。
accommodation,"ə,kɑmə'deʃən",n. 住处，膳宿；调节；和解；预订铺位,The price for the holiday includes flights and accommodation.,度假的价格包括机票和住宿。
transparent,træns'pærənt,adj. 透明的；显然的；坦率的；易懂的,a transparent plastic container,透明的塑料容器
humid,'hjumɪd,adj. 潮湿的；湿润的；多湿气的,Tokyo is extremely humid in mid-summer.,仲夏的东京十分潮湿。
contaminate,kən'tæmɪnet,v. 污染，弄脏,Drinking water supplies are believed to have been contaminated.,据信饮用水已受到污染。
pray,pre,v. 祈祷；恳求；央求；n. (Pray)人名；(匈)普劳伊；(英)普雷,They went to the mosque to pray.,他们去清真寺祷告。
possess,pə'zɛs,v. 控制；使掌握；持有；迷住；拥有，具备,Different workers possess different skills.,不同的工人拥有不同技能。
predict,prɪ'dɪkt,v. 预报，预言；预知,Sales were five percent lower than predicted.,销售额比预期低5%。
composition,",kɑmpə'zɪʃən",n. 作文，作曲，作品；[材] 构成；合成物；成分,Some minerals have complex chemical compositions.,有些矿物的化学构成很复杂。
faithful,'feθfəl,adj. 忠实的，忠诚的；如实的；准确可靠的；n. (Faithful)人名；(英)费思富尔,a faithful friend,忠诚的朋友
cease,sis,v. 停止；终了；n. 停止,The things people will do for charity never cease to amaze me (= I am always surprised by them ) .,人们的慈善义举总是让我感到惊讶。
discard,dɪsˈkɑːrd,v. 抛弃；放弃；丢弃；n. 抛弃；被丢弃的东西或人,Read the manufacturer's guidelines before discarding the box.,先阅读制造商的说明书再把盒子丢掉。
refer,rɪ'fɝ,v. 参考；涉及；提到；查阅,"In his speech, he referred to a recent trip to Canada.",在他的讲话中，他提到了最近的加拿大之行。
original,ə'rɪdʒənl,n. 原件；原作；原物；原型；adj. 原始的；最初的；独创的；新颖的,The colours are much more striking in the original.,原作的色彩要鲜艳得多。
penalty,'pɛnəlti,n. 罚款，罚金；处罚,No littering. Penalty $500.,禁止乱扔垃圾。 违者罚款500美元。
dismay,dɪs'me,n. 沮丧，灰心；惊慌；v. 使沮丧；使惊慌,The thought of leaving filled him with dismay .,想到要离开，他心里充满了忧伤。
superb,/suːˈpɜːrb/,adj. 极好的；华丽的；宏伟的；n. (Superb)人名；(罗)苏佩尔布,The food was superb.,食物好吃极了。
comprehensive,ˌkɑːmprɪˈhensɪv,adj. 综合的；广泛的；有理解力的；n. 综合学校；专业综合测验,We offer our customers a comprehensive range of financial products.,我们为客户提供全面的金融产品。
approval,əˈpruvl,n. 批准；认可；赞成,The president has already given his approval to the plan.,总统已经批准了这个计划。
derive,dɪ'raɪv,v. 源于；得自；获得；n. (Derive)人名；(法)德里夫,Mr. Ying is one of those happy people who derive pleasure from helping others.,英先生是那种助人为乐的快活人。
register,'rɛdʒɪstɚ,v. 登记；注册；记录；挂号邮寄；把…挂号；正式提出；n. 登记；注册；记录；寄存器；登记簿,The tanker is registered in Rotterdam.,这艘油轮是在鹿特丹登记的。
sweep,swip,v. 扫除；猛拉；掸去；n. 打扫，扫除；范围；全胜,I swept the papers quickly into the drawer.,我迅速把那些文件扫进抽屉里。
abundant,ə'bʌndənt,adj. 丰富的；充裕的；盛产,an abundant supply of fresh water,充足的淡水供应
immortal,ɪ'mɔrtl,adj. 不朽的；神仙的；长生的；n. 神仙；不朽人物,Plato believed that the soul is immortal.,柏拉图认为灵魂不灭。
household,'haʊshold,adj. 家庭的；日常的；王室的；n. 全家人，一家人；(包括佣工在内的)家庭，户,household chores,家务杂活
blunder,'blʌndɚ,v. 跌跌撞撞地走；犯大错；n. 大错,They blundered badly when they gave him the job.,他们犯了大错，让他做这份工作。
tolerant,'tɑlərənt,adj. 宽容的；容忍的；有耐药力的,a tolerant society,宽容的社会
revolve,rɪ'vɔlv,v. 旋转；循环出现；反复考虑；n. 旋转；循环；旋转舞台,The wheel began to revolve.,轮子开始旋转。
forbid,fɚ'bɪd,v. 禁止；不准；不允许；〈正式〉严禁,Lack of space forbids listing the names of all those who contributed.,由于篇幅限制，无法列出所有捐款人的姓名。
nutrient,'nutrɪənt,n. 营养物；滋养物；adj. 营养的；滋养的,The plant absorbs nutrients from the soil.,植物从土壤中吸取养分。
suffering,'sʌfərɪŋ,n. 受难；苦楚；adj. 受苦的；患病的；v. 受苦；蒙受（suffer的ing形式）,the suffering of the refugees after the war,战后难民所遭受的苦难
density,'dɛnsəti,n. 密度,areas of high population density,人口密度高的地区
blank,blæŋk,adj. 空白的；空虚的；单调的；n. 空白；空虚；空白表格；v. 使…无效；使…模糊；封锁,Leave the last page blank .,最后一页留空。
notion,'noʃən,n. 概念；见解；打算,She had no notion what he meant.,她根本不明白他是什么意思。
dimension,dɪ'mɛnʃ(ə)n; daɪ-,n. 方面;[数] 维；尺寸；次元；容积 vt标出尺寸；adj. 规格的,You can have a spiritual dimension to your life without being religious.,即使你不信宗教，也可以在生命中拥有精神层面的内容。
veto,'vito,n. 否决权；v. 否决；禁止,The Senate had a sufficient majority to override the presidential veto (= not accept his refusal ).,参议院有足够的多数票可以推翻总统的否决。
specialist,'spɛʃəlɪst,n. 专家；专门医师；adj. 专家的；专业的,a heart specialist,心脏专科医生
emit,ɪ'mɪt,v. 发出，放射；发行；发表,The kettle emitted a shrill whistle.,水壶发出了刺耳的鸣笛声。
sacred,'sekrɪd,adj. 神的；神圣的；宗教的；庄严的,a sacred vow,神圣的誓言
smash,smæʃ,v. 粉碎；使破产；溃裂；n. 破碎；扣球；冲突；大败；adj. 了不起的；非常轰动的；出色的,Vandals had smashed all the windows.,破坏分子打碎了所有的窗子。
terror,'tɛrɚ,n. 恐怖；恐怖行动；恐怖时期；可怕的人,There was a look of sheer terror (= complete terror ) on his face.,他脸上的表情异常惊恐。
alternate,'ɔltɚnət,v. 交替；轮流；adj. 交替的；轮流的；n. 替换物,The two patterns alternate over periods of two to seven years in the tropical Pacific.,在热带的太平洋地区，这两种现象的交替周期超过了两到七年。
dominate,'dɑmɪnet,v. 控制；支配；占优势；在…中占主要地位,The industry is dominated by five multinational companies.,这个行业受五家跨国公司控制。
atom,'ætəm,n. 原子,carbon atoms,碳原子
humiliating,hju:'milieitiŋ,adj. 丢脸的；羞辱性的；v. 使蒙耻（humiliate的ing形式）,a humiliating defeat,丢脸的失败
target,'tɑrɡɪt,n. 目标；靶子；v. 把……作为目标；规定……的指标；瞄准某物,There is no target date for completion of the new project.,这个新的项目何时完工没有预定日期。
board,bɔrd,n. 董事会；木板；甲板；膳食；v. 上（飞机、车、船等）；用板盖上；给提供膳宿,Martha was chopping vegetables on a wooden board.,玛莎正在用一块木砧板切蔬菜。
active,'æktɪv,adj. 积极的；活跃的；主动的；有效的；现役的；n. 主动语态；积极分子,games for active youngsters,活跃好动的年轻人玩的游戏
destroy,dɪ'strɔɪ,v. 破坏；消灭；毁坏,companies that are polluting and destroying the environment,污染和破坏环境的公司
reclaim,rɪ'klem,v. 开拓；回收再利用；改造某人，使某人悔改；n. 改造，感化；再生胶,You may be entitled to reclaim some tax.,你也许可以享受一定额度的退税。
vague,veɡ,adj. 模糊的；含糊的；不明确的；暧昧的；n. (Vague)人名；(法)瓦格；(英)韦格,The governor gave only a vague outline of his tax plan.,州长只是含糊地大致说了一下他的税务计划。
analogy,ə'nælədʒi,n. 类比；类推；类似,The analogy between music and fragrance has stuck.,音乐与香味的类比已经深入人心了。
worthy,wɜði,adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的；n. 杰出人物；知名人士,Leeds United were worthy winners of the competition.,利兹联队是比赛当之无愧的获胜者。
motivate,'motə'vet,v. 刺激；使有动机；激发…的积极性,Was he motivated solely by a desire for power?,他只是受到权欲的驱使吗？
circumstance,'sɝkəmstæns,n. 环境，情况；事件；境遇,The Soviet Union had been forced by circumstances to sign a pact with Nazi Germany.,苏联为形势所迫同纳粹德国签订了一项条约。
surgeon,'sɝdʒən,n. 外科医生,...a heart surgeon.,…一位心脏外科医生。
donate,'donet,v. 捐赠；捐献；n. 捐赠；捐献,people who volunteer to donate blood,自愿献血者
bond,bɑnd,n. 债券；结合；约定；粘合剂；纽带；v. 结合，团结在一起,My father put all his money into stock market bonds.,我父亲把他所有的钱都投在上市债券上。
ancient,ˈeɪnʃənt,adj. 古代的；古老的，过时的；年老的；n. 古代人；老人,the ancient civilizations of Asia,亚洲的古代文明
registration,'rɛdʒɪ'streʃən,n. 登记；注册；挂号,Student registration (= for a course of study ) starts the first week in September.,学生注册在9月份的第一个星期开始。
additional,ə'dɪʃənl,adj. 附加的，额外的,Additional information can be obtained from the centre.,可以从中心获取更多信息。
scan,skæn,v. 扫描；浏览；细看；详细调查；标出格律；n. 扫描；浏览；审视；细看,"He scanned the horizon, but there was no sign of the ship.",他朝地平线处仔细眺望，但是找不到那艘船的踪影。
fundamental,",fʌndə'mɛntl",adj. 基本的，根本的；n. 基本原理；基本原则,We have to tackle the fundamental cause of the problem.,我们必须解决问题的根本原因。
headquarters,'hɛdkwɔrtɚz,n. 总部；指挥部；司令部,the headquarters of the United Nations,联合国总部
imperative,ɪm'pɛrətɪv,adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；[语]祈使的；n. 必要的事；命令；需要；规则；[语]祈使语气,It is imperative that politicians should be good communicators.,政治家应该是很好的沟通者，这很重要。
deposit,dɪ'pɑzɪt,n. 存款；押金；订金；保证金；沉淀物；v. 使沉积；存放,fatty deposits on the heart,心脏上沉积的脂肪层
bubble,'bʌbl,n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶；v. 沸腾，冒泡；发出气泡声,"When water boils, bubbles rise to the surface.",水烧开时，水面会冒泡泡。
sting,stɪŋ,n. 刺痛；讽刺，刺激；刺毛；v. 刺；驱使；使…苦恼；使…疼痛,She felt the sting of tears in her eyes.,她感觉泪水刺痛了眼睛。
conference,'kɑnfərəns,n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会；vi. 举行或参加（系列）会议,Representatives from over 100 countries attended the International Peace Conference in Geneva.,来自一百多个国家的代表出席了在日内瓦举行的国际和平大会。
impact,ɪm'pækt,n. 影响；效果；碰撞；冲击力；v. 挤入，压紧；撞击；对…产生影响,The force of the impact knocked the breath out of her.,撞击力使她喘不过气来。
precise,prɪ'saɪs,adj. 精确的；明确的；严格的,precise sales figures,准确的销售数据
client,'klaɪənt,n. [经] 客户；顾客；委托人,a meeting with an important client,与一位重要客户的会面
